t_sec,FHR,UC
0.0,156.5,14.0
0.25,156.5,14.5
0.5,157.25,14.5
0.75,157.0,14.5
1.0,157.0,14.5
1.25,155.75,15.0
1.5,156.0,15.5
1.75,156.0,16.0
2.0,156.25,16.0
2.25,157.0,16.0
2.5,157.0,16.5
2.75,157.5,17.0
3.0,157.5,17.5
3.25,157.5,18.0
3.5,158.0,18.5
3.75,156.0,18.5
4.0,156.0,19.0
4.25,156.25,19.5
4.5,156.75,20.0
4.75,156.75,20.5
5.0,156.75,21.0
5.25,157.0,21.0
5.5,157.0,21.5
5.75,157.0,21.5
6.0,157.75,22.0
6.25,157.75,22.0
6.5,157.75,22.0
6.75,157.75,22.0
7.0,158.75,22.0
7.25,158.5,22.0
7.5,158.5,21.5
7.75,158.5,21.5
8.0,158.25,22.0
8.25,158.25,22.5
8.5,158.0,23.0
8.75,158.0,23.5
9.0,158.0,23.5
9.25,158.5,23.5
9.5,158.0,24.0
9.75,158.0,24.5
10.0,157.0,24.5
10.25,156.25,24.5
10.5,156.25,25.0
10.75,156.5,25.0
11.0,156.0,25.0
11.25,156.0,25.0
11.5,155.5,24.0
11.75,155.25,24.0
12.0,155.25,24.0
12.25,155.25,24.0
12.5,154.25,26.0
12.75,154.25,28.0
13.0,154.5,29.0
13.25,154.5,28.5
13.5,154.25,27.0
13.75,154.0,26.5
14.0,154.0,27.5
14.25,154.25,27.5
14.5,154.25,28.0
14.75,154.25,28.0
15.0,153.25,29.5
15.25,154.5,32.5
15.5,154.5,33.5
15.75,154.0,32.5
16.0,154.0,31.0
16.25,153.5,30.5
16.5,154.25,30.5
16.75,154.25,31.0
17.0,153.5,31.0
17.25,153.5,31.0
17.5,153.5,35.0
17.75,153.5,37.5
18.0,153.5,37.0
18.25,153.5,35.5
18.5,153.5,33.0
18.75,153.5,32.0
19.0,153.5,32.0
19.25,150.5,32.5
19.5,151.0,32.5
19.75,151.0,33.0
20.0,151.0,34.0
20.25,150.0,33.5
20.5,150.0,34.5
20.75,150.75,35.0
21.0,151.0,34.5
21.25,151.0,33.0
21.5,154.0,32.0
21.75,154.0,32.0
22.0,151.5,32.0
22.25,152.5,31.5
22.5,152.5,31.0
22.75,147.5,31.5
23.0,147.5,31.0
23.25,145.75,30.5
23.5,143.75,30.5
23.75,143.75,30.0
24.0,142.75,30.0
24.25,142.75,29.0
24.5,142.75,29.5
24.75,142.75,32.0
25.0,142.75,32.5
25.25,142.75,31.0
25.5,143.0,30.5
25.75,143.0,30.5
26.0,143.0,29.5
26.25,140.0,29.5
26.5,140.0,30.5
26.75,139.5,31.0
27.0,140.5,31.0
27.25,140.5,30.5
27.5,140.5,30.0
27.75,142.25,29.0
28.0,142.25,30.5
28.25,142.25,32.0
28.5,142.25,31.5
28.75,142.25,30.5
29.0,142.25,30.0
29.25,142.25,30.0
29.5,142.5,28.5
29.75,142.25,28.0
30.0,142.25,28.5
30.25,142.5,30.0
30.5,142.5,31.0
30.75,0.0,32.5
31.0,0.0,33.5
31.25,0.0,32.5
31.5,0.0,32.0
31.75,0.0,32.0
32.0,0.0,32.5
32.25,0.0,31.5
32.5,0.0,30.5
32.75,0.0,30.0
33.0,0.0,30.0
33.25,0.0,29.5
33.5,0.0,28.5
33.75,0.0,27.5
34.0,0.0,27.5
34.25,0.0,28.0
34.5,132.25,28.5
34.75,132.25,28.5
35.0,135.75,28.5
35.25,136.75,28.5
35.5,136.75,28.0
35.75,136.75,28.0
36.0,136.75,29.0
36.25,136.75,30.5
36.5,134.25,32.0
36.75,132.75,32.5
37.0,132.75,32.0
37.25,133.25,31.0
37.5,133.25,29.5
37.75,133.25,30.0
38.0,133.25,29.5
38.25,133.25,29.5
38.5,133.25,30.0
38.75,133.25,30.5
39.0,133.25,31.0
39.25,133.25,31.0
39.5,133.25,30.0
39.75,133.25,29.5
40.0,136.5,29.0
40.25,136.5,28.0
40.5,142.0,28.5
40.75,145.25,28.5
41.0,145.25,29.0
41.25,145.0,29.5
41.5,143.25,30.0
41.75,143.25,30.0
42.0,142.5,29.0
42.25,142.5,29.0
42.5,143.25,29.0
42.75,143.25,28.5
43.0,139.5,28.5
43.25,139.5,28.5
43.5,139.5,29.0
43.75,137.5,30.0
44.0,137.5,30.5
44.25,138.0,31.0
44.5,138.0,30.5
44.75,141.0,30.0
45.0,143.5,30.0
45.25,143.5,30.0
45.5,146.75,30.0
45.75,147.5,29.5
46.0,147.5,29.0
46.25,148.25,30.0
46.5,148.5,30.0
46.75,148.5,30.5
47.0,150.0,31.5
47.25,150.0,32.0
47.5,150.0,32.0
47.75,150.0,31.0
48.0,150.0,30.5
48.25,150.0,30.5
48.5,149.75,30.5
48.75,150.0,30.5
49.0,150.0,30.0
49.25,151.0,30.0
49.5,151.75,30.5
49.75,151.75,30.5
50.0,152.25,31.0
50.25,153.0,31.0
50.5,153.0,30.5
50.75,153.5,30.5
51.0,153.5,30.0
51.25,154.25,29.5
51.5,154.75,29.0
51.75,154.75,29.0
52.0,155.25,29.0
52.25,155.25,29.0
52.5,155.25,29.0
52.75,155.0,29.0
53.0,154.25,29.0
53.25,154.25,29.0
53.5,155.0,29.0
53.75,156.0,28.5
54.0,156.0,28.0
54.25,156.25,28.0
54.5,156.0,28.0
54.75,156.0,28.0
55.0,156.0,27.5
55.25,156.75,27.5
55.5,156.75,27.5
55.75,157.0,27.5
56.0,157.25,27.5
56.25,157.25,28.0
56.5,158.0,27.5
56.75,158.0,27.0
57.0,159.0,26.5
57.25,157.75,26.5
57.5,157.75,26.5
57.75,158.25,26.0
58.0,158.5,26.0
58.25,158.5,25.5
58.5,158.25,25.5
58.75,158.5,25.0
59.0,158.5,24.5
59.25,159.5,24.5
59.5,157.25,24.5
59.75,157.25,24.5
60.0,156.5,25.0
60.25,156.75,24.5
60.5,156.75,24.5
60.75,156.75,24.0
61.0,156.75,24.5
61.25,156.75,26.0
61.5,156.75,26.0
61.75,157.0,26.0
62.0,157.0,26.5
62.25,156.5,27.0
62.5,157.0,27.5
62.75,157.0,27.5
63.0,158.25,27.0
63.25,157.5,27.0
63.5,157.5,27.5
63.75,158.0,27.0
64.0,159.0,27.0
64.25,159.0,26.5
64.5,158.5,26.5
64.75,158.75,27.0
65.0,158.75,27.0
65.25,158.5,27.5
65.5,159.0,28.5
65.75,159.0,28.5
66.0,158.75,27.5
66.25,160.0,27.0
66.5,160.0,26.5
66.75,160.5,26.5
67.0,158.5,26.5
67.25,158.5,26.5
67.5,158.75,26.0
67.75,159.25,25.5
68.0,159.25,25.5
68.25,159.25,25.0
68.5,158.25,25.0
68.75,159.25,24.5
69.0,159.25,24.5
69.25,160.5,24.5
69.5,159.0,24.0
69.75,159.0,24.0
70.0,159.0,24.0
70.25,158.75,24.0
70.5,158.75,24.0
70.75,160.0,23.5
71.0,159.5,23.5
71.25,159.5,23.5
71.5,160.25,24.0
71.75,159.0,24.0
72.0,159.0,24.0
72.25,160.0,23.5
72.5,159.5,23.5
72.75,159.5,23.5
73.0,161.25,23.5
73.25,160.25,23.5
73.5,160.25,23.0
73.75,160.75,23.0
74.0,160.25,23.0
74.25,160.25,23.5
74.5,161.0,23.5
74.75,158.75,23.5
75.0,158.75,23.5
75.25,160.25,23.0
75.5,160.0,22.5
75.75,160.0,22.5
76.0,160.25,22.5
76.25,160.25,22.0
76.5,160.25,22.0
76.75,159.25,22.0
77.0,158.75,22.0
77.25,158.75,21.5
77.5,159.0,22.0
77.75,159.0,22.0
78.0,159.0,22.5
78.25,159.25,23.0
78.5,159.25,23.0
78.75,159.25,22.0
79.0,159.25,22.0
79.25,160.0,21.5
79.5,160.0,21.5
79.75,160.25,22.0
80.0,160.5,21.5
80.25,160.5,21.5
80.5,160.75,21.5
80.75,160.25,21.5
81.0,160.25,22.0
81.25,158.75,22.0
81.5,158.0,22.0
81.75,158.0,21.5
82.0,157.75,21.0
82.25,157.75,21.0
82.5,157.0,21.0
82.75,156.0,21.0
83.0,156.0,21.0
83.25,155.0,21.0
83.5,155.5,21.0
83.75,155.5,21.5
84.0,153.75,22.0
84.25,153.5,22.0
84.5,153.5,22.0
84.75,155.0,21.0
85.0,154.25,21.0
85.25,154.25,21.5
85.5,154.5,21.5
85.75,154.5,21.5
86.0,153.75,22.0
86.25,152.0,22.0
86.5,152.0,22.5
86.75,152.25,22.0
87.0,151.5,21.5
87.25,151.5,21.0
87.5,153.0,21.0
87.75,153.25,21.0
88.0,153.25,21.0
88.25,153.25,20.5
88.5,153.25,20.5
88.75,153.5,21.5
89.0,154.25,21.5
