t_sec,FHR,UC
0.0,166.0,55.0
0.25,165.75,56.0
0.5,165.75,57.5
0.75,167.75,58.5
1.0,167.75,59.0
1.25,166.75,59.5
1.5,166.75,59.5
1.75,166.75,59.0
2.0,166.5,58.0
2.25,165.25,57.0
2.5,165.25,56.0
2.75,163.5,55.0
3.0,163.5,54.0
3.25,163.5,53.5
3.5,163.0,52.5
3.75,161.0,51.5
4.0,161.0,51.0
4.25,161.0,49.5
4.5,161.0,48.0
4.75,161.0,48.0
5.0,161.0,48.5
5.25,160.75,49.0
5.5,160.75,48.5
5.75,160.75,48.0
6.0,160.75,47.5
6.25,160.75,48.0
6.5,160.75,48.0
6.75,160.75,48.5
7.0,160.75,49.0
7.25,160.0,48.0
7.5,160.0,47.5
7.75,159.75,48.0
8.0,159.75,49.5
8.25,159.75,51.5
8.5,159.75,52.5
8.75,159.75,52.5
9.0,159.75,52.5
9.25,159.75,52.5
9.5,163.25,51.5
9.75,163.25,51.5
10.0,163.25,53.0
10.25,165.75,52.5
10.5,166.25,52.5
10.75,166.25,51.5
11.0,166.5,51.0
11.25,166.5,50.5
11.5,166.5,50.0
11.75,166.5,50.5
12.0,166.5,51.5
12.25,166.5,53.0
12.5,166.5,54.0
12.75,166.5,55.0
13.0,166.5,56.5
13.25,0.0,57.0
13.5,0.0,57.5
13.75,0.0,57.5
14.0,0.0,57.0
14.25,0.0,56.5
14.5,105.0,56.0
14.75,105.0,55.0
15.0,105.0,53.5
15.25,114.5,53.0
15.5,114.5,52.0
15.75,107.75,51.0
16.0,107.75,49.5
16.25,106.5,48.5
16.5,106.5,48.5
16.75,106.5,49.0
17.0,106.5,49.5
17.25,112.5,50.5
17.5,112.5,51.0
17.75,112.0,52.0
18.0,112.0,54.0
18.25,112.0,56.0
18.5,109.75,58.0
18.75,109.75,59.5
19.0,105.25,60.0
19.25,105.25,60.5
19.5,105.25,60.0
19.75,104.75,59.5
20.0,104.75,59.0
20.25,104.75,58.5
20.5,104.75,57.5
20.75,104.75,56.5
21.0,104.75,55.5
21.25,104.75,54.0
21.5,104.75,53.0
21.75,0.0,51.5
22.0,0.0,51.5
22.25,0.0,53.5
22.5,102.5,52.5
22.75,102.5,52.5
23.0,107.5,53.0
23.25,107.5,53.0
23.5,110.25,53.0
23.75,110.25,52.5
24.0,112.5,53.5
24.25,112.5,54.5
24.5,113.5,55.5
24.75,113.5,57.0
25.0,114.0,58.5
25.25,114.0,60.0
25.5,118.5,61.0
25.75,118.5,62.5
26.0,118.5,64.5
26.25,118.5,66.0
26.5,118.25,68.0
26.75,118.25,69.5
27.0,119.25,70.5
27.25,119.25,71.0
27.5,120.0,70.0
27.75,120.0,68.5
28.0,120.0,67.0
28.25,120.0,66.0
28.5,120.0,64.5
28.75,120.0,63.0
29.0,113.75,61.5
29.25,113.75,59.5
29.5,113.75,58.0
29.75,113.75,56.5
30.0,113.75,55.5
30.25,113.75,54.5
30.5,113.75,54.0
30.75,113.75,54.0
31.0,113.75,55.5
31.25,113.75,57.0
31.5,113.75,58.5
31.75,113.75,60.5
32.0,115.75,62.0
32.25,115.75,64.5
32.5,115.75,66.5
32.75,115.75,67.0
33.0,116.25,67.5
33.25,116.25,68.0
33.5,116.25,67.0
33.75,116.25,66.5
34.0,103.25,66.5
34.25,103.25,65.5
34.5,103.75,64.5
34.75,103.75,63.5
35.0,103.75,62.0
35.25,103.75,61.0
35.5,104.0,60.0
35.75,104.0,60.0
36.0,0.0,60.5
36.25,0.0,61.5
36.5,0.0,63.5
36.75,109.75,66.0
37.0,109.75,68.0
37.25,105.0,70.0
37.5,105.0,70.5
37.75,103.25,71.0
38.0,103.25,70.0
38.25,103.25,68.0
38.5,103.25,66.5
38.75,103.25,66.0
39.0,98.25,65.0
39.25,98.25,63.0
39.5,102.0,61.5
39.75,102.0,59.5
40.0,105.25,57.0
40.25,105.25,56.0
40.5,109.75,54.5
40.75,109.75,54.5
41.0,109.75,56.5
41.25,112.25,59.5
41.5,112.25,62.5
41.75,112.75,64.5
42.0,112.75,66.5
42.25,114.0,69.0
42.5,114.0,71.5
42.75,114.75,74.0
43.0,114.75,76.5
43.25,114.75,78.5
43.5,114.75,80.5
43.75,114.75,81.5
44.0,114.75,81.5
44.25,114.75,80.0
44.5,114.75,78.0
44.75,114.75,77.0
45.0,0.0,75.5
45.25,0.0,74.5
45.5,0.0,73.5
45.75,0.0,71.5
46.0,0.0,69.5
46.25,0.0,68.5
46.5,0.0,68.0
46.75,0.0,69.0
47.0,0.0,70.0
47.25,0.0,72.0
47.5,117.0,73.5
47.75,117.0,75.5
48.0,117.25,78.0
48.25,117.25,81.5
48.5,117.25,85.0
48.75,117.25,88.5
49.0,117.5,91.0
49.25,117.5,93.5
49.5,117.5,96.0
49.75,117.5,97.5
50.0,117.5,98.0
50.25,117.5,97.0
50.5,117.5,96.0
50.75,117.5,94.0
51.0,0.0,91.5
51.25,0.0,89.5
51.5,0.0,86.5
51.75,0.0,84.0
52.0,0.0,81.5
52.25,0.0,79.0
52.5,0.0,76.5
52.75,0.0,74.0
53.0,0.0,72.5
53.25,0.0,70.5
53.5,0.0,69.5
53.75,0.0,68.5
54.0,0.0,67.5
54.25,0.0,68.0
54.5,0.0,69.0
54.75,0.0,71.0
55.0,0.0,73.0
55.25,0.0,75.5
55.5,0.0,77.5
55.75,116.5,80.0
56.0,116.5,83.0
56.25,116.5,85.5
56.5,114.0,88.5
56.75,114.0,91.0
57.0,107.75,93.5
57.25,107.75,95.5
57.5,107.75,97.0
57.75,106.0,98.0
58.0,106.0,98.5
58.25,106.0,98.5
58.5,106.0,99.0
58.75,106.0,98.5
59.0,97.75,97.0
59.25,97.75,95.0
59.5,97.75,93.0
59.75,96.25,91.0
60.0,96.25,88.5
60.25,86.5,86.0
60.5,86.5,84.0
60.75,86.5,81.5
61.0,84.0,79.0
61.25,84.0,76.0
61.5,83.5,74.5
61.75,83.5,73.0
62.0,83.5,71.5
62.25,0.0,70.0
62.5,0.0,69.0
62.75,0.0,69.0
63.0,0.0,70.0
63.25,0.0,71.5
63.5,118.25,73.0
63.75,118.25,74.5
64.0,116.75,76.5
64.25,116.75,78.5
64.5,115.5,81.5
64.75,115.5,83.5
65.0,114.75,86.0
65.25,114.75,87.5
65.5,118.0,88.5
65.75,118.0,88.0
66.0,118.0,87.5
66.25,118.0,86.5
66.5,119.0,85.0
66.75,119.0,83.5
67.0,119.0,81.5
67.25,119.0,79.0
67.5,109.75,76.5
67.75,109.75,74.0
68.0,109.75,72.0
68.25,109.75,69.5
68.5,109.75,68.0
68.75,112.75,66.5
69.0,114.25,65.0
69.25,114.25,63.5
69.5,114.25,62.5
69.75,114.75,61.5
70.0,114.75,62.5
70.25,114.75,63.5
70.5,0.0,65.5
70.75,0.0,67.0
71.0,0.0,69.0
71.25,0.0,70.5
71.5,109.75,72.5
71.75,109.75,73.5
72.0,109.75,74.5
72.25,109.75,74.5
72.5,109.75,73.5
72.75,110.5,72.0
73.0,110.5,70.5
73.25,110.5,68.5
73.5,110.5,67.0
73.75,110.5,65.0
74.0,109.75,63.0
74.25,109.75,61.0
74.5,109.75,59.5
74.75,108.75,57.5
75.0,108.75,57.0
75.25,109.25,57.0
75.5,109.25,58.0
75.75,112.5,60.5
76.0,112.5,63.0
76.25,112.5,65.0
76.5,113.25,66.5
76.75,113.25,67.5
77.0,111.5,69.0
77.25,111.5,69.0
77.5,106.5,68.0
77.75,106.5,66.0
78.0,105.75,64.0
78.25,105.75,62.0
78.5,105.75,60.5
78.75,105.25,59.0
79.0,105.25,56.5
79.25,105.25,54.5
79.5,105.25,52.0
79.75,105.25,50.0
80.0,105.25,48.5
80.25,105.25,47.5
80.5,105.25,47.0
80.75,105.5,46.5
81.0,105.5,47.0
81.25,112.75,48.5
81.5,112.75,50.5
81.75,112.75,52.5
82.0,112.75,54.5
82.25,112.75,57.0
82.5,112.75,59.5
82.75,112.75,62.0
83.0,112.75,65.0
83.25,114.75,68.0
83.5,114.75,70.5
83.75,114.75,73.0
84.0,114.75,74.5
84.25,114.75,75.5
84.5,115.5,76.0
84.75,115.5,75.0
85.0,115.5,74.0
85.25,115.5,73.0
85.5,115.75,71.0
85.75,115.75,68.5
86.0,115.75,66.0
86.25,115.75,63.5
86.5,115.75,61.5
86.75,115.75,59.0
87.0,115.75,57.5
87.25,115.75,55.5
87.5,115.75,54.0
87.75,115.75,52.5
88.0,115.75,51.5
88.25,0.0,51.0
88.5,0.0,50.0
88.75,106.25,49.5
89.0,106.25,49.5
89.25,106.25,49.0
89.5,106.25,49.0
89.75,106.25,49.0
90.0,106.25,49.0
90.25,113.5,48.5
90.5,113.5,48.5
90.75,113.5,49.0
91.0,113.5,50.5
91.25,114.25,52.5
91.5,114.25,54.5
91.75,116.0,56.5
92.0,116.0,59.0
92.25,116.0,61.5
92.5,115.0,64.5
92.75,110.75,67.5
93.0,110.75,70.5
93.25,110.75,73.5
93.5,109.0,76.5
93.75,109.0,79.5
94.0,109.0,81.5
94.25,109.0,82.5
94.5,108.75,83.0
94.75,108.75,82.0
95.0,108.75,81.0
95.25,108.75,80.0
95.5,98.25,78.5
95.75,98.25,76.5
96.0,98.25,74.0
96.25,99.75,71.0
96.5,99.75,68.5
96.75,103.75,65.5
97.0,103.75,63.0
97.25,103.75,61.0
97.5,104.75,59.0
97.75,104.75,57.5
98.0,108.75,56.0
98.25,108.75,54.5
98.5,109.25,54.0
98.75,109.25,53.0
99.0,109.25,52.5
99.25,109.25,53.0
99.5,109.5,55.0
99.75,109.5,57.5
100.0,113.25,60.0
100.25,113.25,63.0
100.5,114.25,66.0
100.75,114.25,69.5
101.0,115.5,73.0
101.25,115.5,77.0
101.5,115.75,80.5
101.75,115.75,84.0
102.0,115.75,87.5
102.25,115.75,90.5
102.5,113.0,92.5
102.75,113.0,94.5
103.0,109.75,96.0
103.25,109.75,97.5
103.5,109.75,98.0
103.75,109.75,98.0
104.0,109.75,98.0
104.25,112.5,97.0
104.5,112.5,95.5
104.75,112.5,93.5
105.0,113.5,90.5
105.25,113.5,88.0
105.5,113.5,85.0
105.75,113.5,82.0
106.0,113.5,79.0
106.25,113.5,76.0
106.5,113.5,73.0
106.75,113.5,70.0
107.0,113.5,68.0
107.25,119.0,65.5
107.5,119.0,64.0
107.75,117.0,62.5
108.0,117.0,61.0
108.25,113.5,60.0
108.5,113.5,59.0
108.75,113.5,58.5
109.0,110.75,58.0
109.25,110.75,58.0
109.5,108.0,59.0
109.75,108.0,61.5
110.0,107.5,63.0
110.25,107.5,65.0
110.5,107.5,67.0
110.75,107.5,69.5
111.0,107.5,71.5
111.25,107.5,74.0
111.5,107.5,76.5
111.75,110.0,79.0
112.0,110.0,79.5
112.25,110.0,79.0
112.5,110.0,78.5
112.75,110.0,77.5
113.0,110.0,76.5
113.25,110.0,75.0
113.5,110.0,73.5
113.75,110.0,71.5
114.0,110.0,69.5
114.25,110.0,67.5
114.5,110.0,66.0
114.75,110.0,64.5
115.0,110.0,63.0
115.25,0.0,62.0
115.5,111.75,62.5
115.75,111.75,63.0
116.0,112.25,64.0
116.25,112.25,65.0
116.5,112.5,67.0
116.75,112.5,68.5
117.0,0.0,71.0
117.25,0.0,73.5
117.5,0.0,76.5
117.75,117.5,79.5
118.0,117.5,82.5
118.25,115.5,84.5
118.5,115.5,86.5
118.75,115.25,89.0
119.0,115.25,91.0
119.25,109.5,93.0
119.5,109.5,94.0
119.75,104.75,95.0
120.0,104.75,95.0
120.25,104.75,94.5
120.5,101.0,93.0
120.75,101.0,91.0
121.0,100.75,88.5
121.25,100.75,86.5
121.5,100.75,84.5
121.75,100.75,82.0
122.0,100.75,79.0
122.25,105.0,76.0
122.5,105.0,73.5
122.75,105.0,71.5
123.0,105.0,69.5
123.25,105.0,67.5
123.5,105.0,66.0
123.75,105.0,66.5
124.0,105.0,67.5
124.25,105.0,69.0
124.5,105.0,70.5
124.75,105.0,72.5
125.0,105.0,74.0
125.25,107.75,76.5
125.5,107.75,79.0
125.75,107.75,82.0
126.0,108.0,84.5
126.25,108.0,86.5
126.5,105.25,87.5
126.75,105.25,87.5
127.0,105.25,86.0
127.25,103.5,85.0
127.5,103.5,84.0
127.75,102.0,83.5
128.0,102.0,82.0
128.25,102.0,80.0
128.5,101.75,78.5
128.75,101.75,77.0
129.0,101.75,75.5
129.25,101.75,74.0
129.5,105.75,73.5
129.75,105.75,74.5
130.0,111.5,75.5
130.25,111.5,76.5
130.5,114.25,78.0
130.75,114.25,79.5
131.0,114.25,81.5
131.25,114.25,83.5
131.5,109.5,85.5
131.75,109.5,87.0
132.0,109.5,88.0
132.25,109.5,88.5
132.5,109.5,87.0
132.75,109.5,86.0
133.0,109.5,85.0
133.25,103.5,84.5
133.5,103.5,83.5
133.75,103.5,82.5
134.0,101.5,81.5
134.25,101.5,80.5
134.5,101.5,80.0
134.75,101.5,80.0
135.0,101.5,79.5
135.25,101.5,77.5
135.5,101.5,77.0
135.75,111.75,77.0
136.0,111.75,77.0
136.25,114.25,77.0
136.5,114.25,77.0
136.75,114.25,77.0
137.0,114.25,78.0
137.25,115.0,78.5
137.5,115.0,78.0
137.75,114.5,77.5
138.0,114.5,79.0
138.25,111.25,81.5
138.5,111.25,83.0
138.75,111.25,83.5
139.0,111.25,83.0
139.25,111.25,82.0
139.5,106.75,81.0
139.75,106.75,81.0
140.0,108.75,80.0
140.25,108.75,80.0
140.5,108.75,79.5
140.75,110.5,78.0
141.0,110.5,76.5
141.25,110.5,75.5
141.5,111.0,74.5
141.75,111.0,75.5
142.0,112.0,77.0
142.25,112.0,78.5
142.5,113.75,80.0
142.75,113.75,82.0
143.0,114.5,84.5
143.25,114.5,87.0
143.5,114.5,89.0
143.75,122.5,88.5
144.0,122.5,88.0
144.25,122.5,86.5
144.5,123.5,85.5
144.75,123.5,84.5
145.0,0.0,83.5
145.25,0.0,82.0
145.5,0.0,80.0
145.75,97.0,77.5
146.0,97.0,75.5
146.25,97.25,74.5
146.5,97.25,74.5
146.75,99.25,75.0
147.0,99.25,75.5
147.25,99.25,76.5
147.5,99.25,78.0
147.75,99.25,77.0
148.0,99.25,75.5
148.25,99.25,74.5
148.5,99.25,74.0
148.75,99.25,74.0
149.0,99.25,73.0
149.25,101.0,72.5
149.5,101.0,71.0
149.75,101.0,69.5
150.0,101.0,69.5
150.25,101.0,69.5
150.5,103.25,70.5
150.75,103.25,71.0
151.0,105.0,72.0
151.25,105.0,73.0
151.5,105.5,74.5
151.75,105.5,74.5
152.0,105.5,73.0
152.25,105.5,71.5
152.5,105.5,71.5
152.75,105.5,71.0
153.0,105.5,70.5
153.25,105.5,70.5
153.5,105.5,69.5
153.75,105.5,68.0
154.0,98.75,66.5
154.25,98.75,64.5
154.5,98.75,63.5
154.75,97.75,63.5
155.0,97.75,64.0
155.25,97.75,64.0
155.5,97.75,63.5
155.75,99.0,62.5
156.0,99.0,61.5
156.25,99.0,61.0
156.5,99.0,60.0
156.75,99.0,59.5
157.0,99.0,59.5
157.25,99.0,59.5
157.5,99.0,59.0
157.75,99.0,57.5
158.0,101.5,56.0
158.25,101.5,54.5
158.5,101.25,54.0
158.75,101.25,54.0
159.0,103.75,54.5
159.25,103.75,55.0
159.5,104.75,54.5
159.75,104.75,54.5
160.0,104.75,54.5
160.25,104.75,55.0
160.5,105.0,56.5
160.75,105.0,58.5
161.0,105.0,60.0
161.25,105.0,61.0
161.5,105.0,61.0
161.75,105.0,61.5
162.0,105.0,62.0
162.25,105.0,62.5
162.5,0.0,63.0
162.75,0.0,63.5
163.0,0.0,63.0
163.25,0.0,62.5
163.5,0.0,62.0
163.75,0.0,61.5
164.0,0.0,61.0
164.25,0.0,60.0
164.5,0.0,60.0
164.75,0.0,60.5
165.0,0.0,60.0
165.25,0.0,58.5
165.5,0.0,56.5
165.75,0.0,55.5
166.0,0.0,55.0
166.25,0.0,54.5
166.5,0.0,54.0
166.75,0.0,53.5
167.0,0.0,51.5
167.25,0.0,50.5
167.5,0.0,51.5
167.75,0.0,53.0
168.0,0.0,52.0
168.25,0.0,50.0
168.5,0.0,48.0
168.75,0.0,48.0
169.0,0.0,49.0
